info,source,game_num
"doubleyo7 - 4 x 4, RoB_the_SloB - 4 x 5, liar, donny34 accuses RoB_the_SloB ( 5 x d-4 ) .. there were 5, donny34 - 5 x 3, doubleyo7 - 3 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-3 ) .. there were 3, doubleyo7 - 5 x 3, RoB_the_SloB - 5 x 4, liar, donny34 accuses RoB_the_SloB ( 4 x d-5 ) .. there were 4, donny34 - 6 x 2, doubleyo7 - 5 x 3, RoB_the_SloB - 5 x 4, liar, donny34 accuses RoB_the_SloB ( 4 x d-5 ) .. there were 4, donny34 - 6 x 1, doubleyo7 - 1 x 3, RoB_the_SloB - 6 x 3, liar, donny34 accuses RoB_the_SloB ( 3 x d-6 ) .. there were 3, donny34 - 2 x 1, doubleyo7 - 3 x 3, RoB_the_SloB - 5 x 3, liar, donny34 accuses RoB_the_SloB ( 3 x d-5 ) .. there were 2, RoB_the_SloB - 3 x 1, liar, donny34 accuses RoB_the_SloB ( 1 x d-3 ) .. there were 2, doubleyo7 - 2 x 3, liar, RoB_the_SloB accuses doubleyo7 ( 3 x d-2 ) .. there were 3, RoB_the_SloB - 6 x 1, doubleyo7 - 6 x 2, liar, RoB_the_SloB accuses doubleyo7 ( 2 x d-6 ) .. there was 1, doubleyo7 - 4 x 2, liar, RoB_the_SloB accuses doubleyo7 ( 2 x d-4 ) .. there was 1, doubleyo7 - 4 x 2, liar, RoB_the_SloB accuses doubleyo7 ( 2 x d-4 ) .. there was 1, doubleyo7 - 6 x 1, RoB_the_SloB - 6 x 2, liar, doubleyo7 accuses RoB_the_SloB ( 2 x d-6 ) .. there were 2",funnode-liars-dice-61493.txt,61493
[Site www.FunNode.com],funnode-liars-dice-61494.txt,61494
[P0 donny34],funnode-liars-dice-61494.txt,61494
[P0-Elo 0.0],funnode-liars-dice-61494.txt,61494
[P1 doubleyo7],funnode-liars-dice-61494.txt,61494
[P1-Elo 0.0],funnode-liars-dice-61494.txt,61494
[P2 RoB_the_SloB],funnode-liars-dice-61494.txt,61494
[P2-Elo 0.0],funnode-liars-dice-61494.txt,61494
[Timer Fischer],funnode-liars-dice-61494.txt,61494
[Timers -1 + 0],funnode-liars-dice-61494.txt,61494
[Re-roll false],funnode-liars-dice-61494.txt,61494
[Spot On false],funnode-liars-dice-61494.txt,61494
[Wild Ones false],funnode-liars-dice-61494.txt,61494
[First to play loser],funnode-liars-dice-61494.txt,61494
[Loser loses 1],funnode-liars-dice-61494.txt,61494
"[Result donny34 wins in 11 rounds. doubleyo7, RoB_the_SloB lose]",funnode-liars-dice-61494.txt,61494
"donny34 - 5 x 3, doubleyo7 - 4 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-4 ) .. there were 3, doubleyo7 - 5 x 3, RoB_the_SloB - 4 x 4, liar, donny34 accuses RoB_the_SloB ( 4 x d-4 ) .. there were 3, RoB_the_SloB - 4 x 2, donny34 - 6 x 2, doubleyo7 - 4 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-4 ) .. there were 4, RoB_the_SloB - 3 x 2, donny34 - 3 x 3, doubleyo7 - 3 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-3 ) .. there were 3, doubleyo7 - 5 x 3, liar, RoB_the_SloB accuses doubleyo7 ( 3 x d-5 ) .. there were 4, RoB_the_SloB - 5 x 1, donny34 - 6 x 1, doubleyo7 - 6 x 2, RoB_the_SloB - 6 x 3, liar, donny34 accuses RoB_the_SloB ( 3 x d-6 ) .. there were 2, RoB_the_SloB - 2 x 1, donny34 - 6 x 2, doubleyo7 - 6 x 3, liar, RoB_the_SloB accuses doubleyo7 ( 3 x d-6 ) .. there were 3, donny34 - 6 x 1, doubleyo7 - 6 x 2, donny34 - 6 x 3, doubleyo7 - 6 x 4, liar, donny34 accuses doubleyo7 ( 4 x d-6 ) .. there were 3, doubleyo7 - 6 x 1, donny34 - 1 x 2, doubleyo7 - 2 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-2 ) .. there were 2, donny34 - 6 x 1, doubleyo7 - 1 x 2, donny34 - 2 x 2, doubleyo7 - 1 x 3, liar, donny34 accuses doubleyo7 ( 3 x d-1 ) .. there were 2, doubleyo7 - 5 x 1, donny34 - 1 x 2, liar, doubleyo7 accuses donny34 ( 2 x d-1 ) .. there were 2",funnode-liars-dice-61494.txt,61494
[Site www.FunNode.com],funnode-liars-dice-61495.txt,61495
[P0 doubleyo7],funnode-liars-dice-61495.txt,61495
[P0-Elo 0.0],funnode-liars-dice-61495.txt,61495
[P1 donny34],funnode-liars-dice-61495.txt,61495
[P1-Elo 0.0],funnode-liars-dice-61495.txt,61495
[P2 RoB_the_SloB],funnode-liars-dice-61495.txt,61495
[P2-Elo 0.0],funnode-liars-dice-61495.txt,61495
[Timer Fischer],funnode-liars-dice-61495.txt,61495
[Timers -1 + 0],funnode-liars-dice-61495.txt,61495
[Re-roll false],funnode-liars-dice-61495.txt,61495
[Spot On false],funnode-liars-dice-61495.txt,61495
[Wild Ones false],funnode-liars-dice-61495.txt,61495
[First to play loser],funnode-liars-dice-61495.txt,61495
[Loser loses 1],funnode-liars-dice-61495.txt,61495
"[Result donny34 wins in 13 rounds. doubleyo7, RoB_the_SloB lose]",funnode-liars-dice-61495.txt,61495
"doubleyo7 - 4 x 4, donny34 - 4 x 5, liar, RoB_the_SloB accuses donny34 ( 5 x d-4 ) .. there were 5, RoB_the_SloB - 3 x 2, doubleyo7 - 6 x 4, liar, donny34 accuses doubleyo7 ( 4 x d-6 ) .. there were 6, donny34 - 4 x 2, RoB_the_SloB - 6 x 2, doubleyo7 - 6 x 3, donny34 - 6 x 4, liar, RoB_the_SloB accuses donny34 ( 4 x d-6 ) .. there were 4, RoB_the_SloB - 2 x 2, doubleyo7 - 6 x 3, liar, donny34 accuses doubleyo7 ( 3 x d-6 ) .. there were 2, doubleyo7 - 4 x 2, donny34 - 1 x 3, liar, RoB_the_SloB accuses donny34 ( 3 x d-1 ) .. there were 3, RoB_the_SloB - 6 x 1, doubleyo7 - 1 x 3, liar, donny34 accuses doubleyo7 ( 3 x d-1 ) .. there were 2, doubleyo7 - 5 x 2, donny34 - 6 x 2, RoB_the_SloB - 2 x 3, doubleyo7 - 6 x 3, liar, donny34 accuses doubleyo7 ( 3 x d-6 ) .. there were 3, donny34 - 5 x 1, RoB_the_SloB - 6 x 1, doubleyo7 - 6 x 2, donny34 - 6 x 3, liar, RoB_the_SloB accuses donny34 ( 3 x d-6 ) .. there were 2, donny34 - 5 x 2, RoB_the_SloB - 5 x 3, liar, doubleyo7 accuses RoB_the_SloB ( 3 x d-5 ) .. there were 3, doubleyo7 - 5 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-5 ) .. there was 1, doubleyo7 - 5 x 2, donny34 - 5 x 3, liar, RoB_the_SloB accuses donny34 ( 3 x d-5 ) .. there were 4, RoB_the_SloB - 5 x 1, doubleyo7 - 3 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-3 ) .. there was 1, donny34 - 5 x 2, liar, RoB_the_SloB accuses donny34 ( 2 x d-5 ) .. there were 2",funnode-liars-dice-61495.txt,61495
[Site www.FunNode.com],funnode-liars-dice-61496.txt,61496
[P0 doubleyo7],funnode-liars-dice-61496.txt,61496
[P0-Elo 0.0],funnode-liars-dice-61496.txt,61496
[P1 RoB_the_SloB],funnode-liars-dice-61496.txt,61496
[P1-Elo 0.0],funnode-liars-dice-61496.txt,61496
[P2 donny34],funnode-liars-dice-61496.txt,61496
[P2-Elo 0.0],funnode-liars-dice-61496.txt,61496
[Timer Fischer],funnode-liars-dice-61496.txt,61496
[Timers -1 + 0],funnode-liars-dice-61496.txt,61496
[Re-roll false],funnode-liars-dice-61496.txt,61496
[Spot On false],funnode-liars-dice-61496.txt,61496
[Wild Ones false],funnode-liars-dice-61496.txt,61496
[First to play loser],funnode-liars-dice-61496.txt,61496
[Loser loses 1],funnode-liars-dice-61496.txt,61496
"[Result donny34 wins in 11 rounds. doubleyo7, RoB_the_SloB lose]",funnode-liars-dice-61496.txt,61496
"doubleyo7 - 1 x 4, RoB_the_SloB - 6 x 4, donny34 - 6 x 5, liar, doubleyo7 accuses donny34 ( 5 x d-6 ) .. there were 5, doubleyo7 - 5 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-5 ) .. there were 4, RoB_the_SloB - 4 x 2, donny34 - 6 x 2, doubleyo7 - 4 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-4 ) .. there were 2, doubleyo7 - 3 x 3, RoB_the_SloB - 4 x 3, donny34 - 4 x 4, doubleyo7 - 4 x 5, liar, RoB_the_SloB accuses doubleyo7 ( 5 x d-4 ) .. there were 5, RoB_the_SloB - 3 x 2, donny34 - 4 x 3, liar, doubleyo7 accuses donny34 ( 3 x d-4 ) .. there were 3, doubleyo7 - 6 x 2, liar, RoB_the_SloB accuses doubleyo7 ( 2 x d-6 ) .. there were 2, RoB_the_SloB - 2 x 2, donny34 - 2 x 3, doubleyo7 - 2 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-2 ) .. there were 4, RoB_the_SloB - 6 x 1, donny34 - 5 x 3, doubleyo7 - 2 x 4, liar, RoB_the_SloB accuses doubleyo7 ( 4 x d-2 ) .. there was 1, doubleyo7 - 4 x 2, RoB_the_SloB - 4 x 3, donny34 - 4 x 4, liar, doubleyo7 accuses donny34 ( 4 x d-4 ) .. there were 3, donny34 - 6 x 1, doubleyo7 - 6 x 2, liar, RoB_the_SloB accuses doubleyo7 ( 2 x d-6 ) .. there were 2, donny34 - 5 x 1, doubleyo7 - 4 x 2, liar, donny34 accuses doubleyo7 ( 2 x d-4 ) .. there was 1",funnode-liars-dice-61496.txt,61496
[Site www.FunNode.com],funnode-liars-dice-61497.txt,61497
[P0 doubleyo7],funnode-liars-dice-61497.txt,61497
[P0-Elo 0.0],funnode-liars-dice-61497.txt,61497
[P1 RoB_the_SloB],funnode-liars-dice-61497.txt,61497
[P1-Elo 0.0],funnode-liars-dice-61497.txt,61497
[P2 donny34],funnode-liars-dice-61497.txt,61497
[P2-Elo 0.0],funnode-liars-dice-61497.txt,61497
[Timer Fischer],funnode-liars-dice-61497.txt,61497
[Timers -1 + 0],funnode-liars-dice-61497.txt,61497
[Re-roll false],funnode-liars-dice-61497.txt,61497
[Spot On false],funnode-liars-dice-61497.txt,61497
[Wild Ones false],funnode-liars-dice-61497.txt,61497
[First to play loser],funnode-liars-dice-61497.txt,61497
[Loser loses 1],funnode-liars-dice-61497.txt,61497
"[Result RoB_the_SloB wins in 13 rounds. doubleyo7, donny34 lose]",funnode-liars-dice-61497.txt,61497
